Report ID,Report Version,Reporting Entity,Report Type,Report Month,Report Year,Report Submission Date,VIN,VIN - Unknown,Serial Number,Make,Model,Model - Unknown,Model Year,Model Year - Unknown,Same Vehicle ID,Mileage,Mileage - Unknown,Driver / Operator Type,ADAS/ADS Version,ADAS/ADS Version - Unknown,ADAS/ADS Version CBI,ADS Equipped?,Automation System Engaged?,Operating Entity,Operating Entity - Unknown,Source - Complaint/Claim,Source - Telematics,Source - Law Enforcement,Source - Field Report,Source - Testing,Source - Media,Source - Other,Source - Other Text,Incident Date,Incident Date - Unknown,Notice Received Date,Incident Time (24:00),Incident Time - Unknown,Same Incident ID,Latitude,Latitude  - Unknown,Longitude,Longitude - Unknown,Address,Address - Unknown,City,City - Unknown,State,Zip Code,Zip Code - Unknown,Roadway Type,Roadway Surface,Roadway Description,Posted Speed Limit (MPH),Posted Speed Limit - Unknown,Lighting,Weather - Clear,Weather - Snow,Weather - Cloudy,Weather - Fog/Smoke,Weather - Rain,Weather - Severe Wind,Weather - Unknown,Weather - Other,Weather - Other Text,Crash With,Highest Injury Severity,Property Damage?,CP Pre-Crash Movement,CP Any Air Bags Deployed?,CP Was Vehicle Towed?,CP Contact Area - Rear Left,CP Contact Area - Left,CP Contact Area - Front Left,CP Contact Area - Rear,CP Contact Area - Top,CP Contact Area - Front,CP Contact Area - Rear Right,CP Contact Area - Right,CP Contact Area - Front Right,CP Contact Area - Bottom,CP Contact Area - Unknown,SV Pre-Crash Movement,SV Any Air Bags Deployed?,SV Was Vehicle Towed?,SV Were All Passengers Belted?,SV Precrash Speed (MPH),SV Pre-crash Speed - Unknown,SV Contact Area - Rear Left,SV Contact Area - Left,SV Contact Area - Front Left,SV Contact Area - Rear,SV Contact Area - Top,SV Contact Area - Front,SV Contact Area - Rear Right,SV Contact Area - Right,SV Contact Area - Front Right,SV Contact Area - Bottom,SV Contact Area - Unknown,Data Availability - EDR,Data Availability - Police Rpt,Data Availability - Telematics,Data Availability - Complaints,Data Availability - Video,Data Availability - Other,Data Availability - No Data,Data Availability - Unknown,Law Enforcement Investigating?,Investigating Agency,Investigating Agency - Unknown,Rep Ent Or Mfr Investigating?,Investigating Officer Name,Inv. Officer Name - Unknown,Investigating Officer Phone,Inv. Officer Phone - Unknown,Investigating Officer Email,Inv. Officer Email - Unknown,Within ODD?,Within ODD? - CBI,Narrative,Narrative - CBI?
30531-3884,1,Transdev Alternative Services,Monthly,8,2022,Sep-22,SADHW2S18M1, ,N/A,Jaguar,I-Pace, ,2021, ,006bac2ce63f1bf,28679, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,Aug-22, ,Aug-22,18:15, ,f4d487ba374fe26,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight, , ,Y, , , , , ,,Van,No Injuries Reported,Yes,Proceeding Straight,No,No, , ,Y, , ,Y, , ,Y, , ,Stopped,No,No,Yes,0, ,Y, , ,Y, , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2022 at 6:05 PM PST a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a van on [XXX] at [XXX].
The Waymo AV was traveling west on [XXX] and came to a stop behind a double-parked vehicle in the right lane.  Shortly after coming to a stop, a van approached from behind and made contact with the rear of the Waymo AV.  The van then changed lanes and left the scene.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position).  The Waymo AV sustained damage.
Transdev Alternative Services is reporting this crash under Request No. 2 of Standing General Order 2021-01.  Transdev may supplement or correct its reporting with additional information as it may become available.  This report is a duplicate of WaymoLLC-202208[XXX]-0 (rev.202209[XXX]162510).", 
30531-3883,1,Transdev Alternative Services,Monthly,8,2022,Sep-22,SADHW2S11M1, ,N/A,Jaguar,I-Pace, ,2021, ,03a8719f5e6a313,44439, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,Aug-22, ,Aug-22,0:06, ,46e037718707dda,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Tempe, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,30, ,Dark - Lighted, , , , , , ,Y, ,,Passenger Car,No Injuries Reported,Yes,Stopped,No,No, ,Y, , , , , , , , , ,Proceeding Straight,No,No,Yes,10, , , , , , , ,Y, , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2022 at 12:06 AM PST a Waymo Autonomous Vehicle (""Waymo AV"") operating in Tempe, Arizona was in a collision involving a passenger vehicle near [XXX].
The Waymo AV was traveling eastbound on [XXX] when it approached a passenger vehicle stopped along the right shoulder in the bike lane.  As the Waymo AV passed the passenger vehicle, one of the passenger vehicle's driver side doors opened and made contact with the Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position).  Both vehicles sustained damage.
Transdev Alternative Services is reporting this crash under Request No. 2 of Standing General Order 2021-01.  Transdev may supplement or correct its reporting with additional information as it may become available.  This report is a duplicate of WaymoLLC-202208[XXX]-0 (rev.202209[XXX]205246).", 
30531-3882,1,Transdev Alternative Services,Monthly,8,2022,Sep-22,1XPBD49XXMD, ,N/A,Peterbilt,579 Epiq, ,2021, ,3c9d14cc7392a38,194446, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,Yes,ADS,Waymo LLC, , , , , , , ,Y,Driver Report,Aug-22, ,Aug-22,18:33, ,a2d260068d10cc9,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Ennis, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,65, ,Dawn / Dusk, , ,Y, , , , , ,,Heavy Truck,No Injuries Reported,Yes,Changing Lanes,No,No, , , , , , ,Y, , , , ,Proceeding Straight,No,No,Yes,61, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2022 at 6:33 PM PST a Waymo Autonomous Vehicle (""Waymo AV"") Peterbilt Class 8 semi-truck and trailer, operating in Ennis, Texas was in a collision involving a Class 8 semi-truck and trailer on northbound [XXX] near [XXX].
The Waymo AV was traveling in autonomous mode in the middle lane on [XXX] when a Class 8 semi-truck and trailer began to pass it in the adjacent left lane.  Before the adjacent Class 8 semi-truck and trailer had fully passed the Waymo AV, it began to execute a right lane change and its trailer (the right side, rear section) entered the lane in which the Waymo AV was traveling and made contact with the driver side of the Waymo AV cab.  The Waymo AV transitioned to manual mode and the test driver took control.  At the time of the impact, the Waymo AV's ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position).  The Waymo AV sustained damage and the third-party Class 8 semi-truck and trailer did not stop to exchange information.
Transdev Alternative Services is reporting this crash under Request No. 2 of Standing General Order 2021-01.  Transdev may supplement or correct its reporting with additional information as it may become available.  This report is a duplicate of WaymoLLC-202208[XXX]-0 (rev. 2022019[XXX]185808)", 
30531-3881,1,Transdev Alternative Services,Monthly,8,2022,Sep-22,SADHW2S15M1, ,N/A,Jaguar,I-Pace, ,2021, ,1d779bc3c6588a4,10537, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,Aug-22, ,Aug-22,3:52, ,ca8c63af9d4185b,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Crossing into Opposing Lane,No,No, , ,Y, , , , , , , , ,Proceeding Straight,No,No,Yes,2, , ,Y, , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2022 at 3:52 AM PST a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a SUV on [XXX] at [XXX].
The Waymo AV was traveling West on [XXX] and stopped at the stop sign at the intersection with [XXX].  As the Waymo AV slowed to a stop, a SUV traveling in the opposite lane, East on [XXX], crossed the intersection with [XXX] and came to a stop in the opposite lane, next to the Waymo AV. After stopping, the SUV began moving again and the front left corner of the SUV made contact with the left side of the Waymo AV.  The SUV then left the scene.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position).  The Waymo AV sustained damage.
Transdev Alternative Services is reporting this crash under Request No. 2 of Standing General Order 2021-01.  Transdev may supplement or correct its reporting with additional information as it may become available.  This report is a duplicate of WaymoLLC-202208[XXX]-0 (rev.202209[XXX]162446).", 
30531-3880,1,Transdev Alternative Services,Monthly,8,2022,Sep-22,SADHW2S19M1, ,N/A,Jaguar,I-Pace, ,2021, ,d486f6b56e17cbc,17214, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,Aug-22, ,Aug-22,18:08, ,e0563b63e1a8347,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Stopped,No,No,Yes,0, , , , ,Y, , ,Y, , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2022 at 6:08 PM PST a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on [XXX] near [XXX].
The Waymo AV was stopped in traffic in the left-hand lane of [XXX], facing East.  The passenger car that had been stopped behind the Waymo AV began moving forward.  The front of the passenger car made contact with the rear of the Waymo AV.  When the light turned green and traffic began moving, the passenger car left the scene.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position).  The Waymo AV sustained damage.
Transdev Alternative Services is reporting this crash under Request No. 2 of Standing General Order 2021-01.  Transdev may supplement or correct its reporting with additional information as it may become available.  This report is a duplicate of WaymoLLC-202208[XXX]-0 (rev.202209[XXX]205107).", 
988-3684,2,PACCAR Incorporated,Monthly Update,8,2022,Sep-22,1XKYD49X7NJ, ,N/A,Kenworth,T680, ,2022, ,f8d0946bbb70e83,10766, ,In-Vehicle (Commercial / Test),,Y, ,Yes,ADS,"Kodiak Robotics, Inc.", , , , , ,Y, , ,,Aug-22, ,Aug-22,18:00, ,2ef7294be596ddb,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Palmer, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,75, ,Daylight,Y, , , , , , , ,,Pickup Truck,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Proceeding Straight,No,No,Yes,15, , , , ,Y, , , , , , , , ,Y,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"Monthly Report Update: A police report was issued after the original SGO incident reports were submitted and described the cause of the collision as the pick-up truck's failure to control its speed before rear-ending the Kodiak AV. The content of this report is otherwise
unchanged from the initial incident report submitted on August [XXX], 2022.
On August [XXX], 2022, Kodiak Robotics, Inc. (""Kodiak"") filed an Incident Report (the ""Report"") under the Standing General Order 2021-01 (the ""Order""). PACCAR, Inc. (Paccar) manufactured the Kodiak-operated motor vehicle involved in the incident summarized in the Incident Report. Because Paccar is also a Reporting Entity under the Order, Paccar is submitting a duplicate of the redacted public copy of the Report. Paccar has selected ""Unknown"" in the ""ADS version"" field solely to avoid the second submission of nonpublic Kodiak CBI. Paccar is in possession of Kodiak's response to this field and incorporates Kodiak's response into this submission by reference. Paccar's submission is based on facts supplied to Paccar by Kodiak. Paccar has not investigated the alleged incident and has no independent knowledge of the facts in the Report.", 
30531-3879,1,Transdev Alternative Services,Monthly,8,2022,Sep-22,SADHW2S15M1, ,N/A,Jaguar,I-Pace, ,2021, ,c5a24e4de70b2d6,40181, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,Aug-22, ,Aug-22,23:30, ,d54f3de7649b381,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Phoenix, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Dark - Lighted, , , , , , ,Y, ,,Animal,No Injuries Reported,Yes,"Other, see Narrative",,, , , , , , , , , , , ,Proceeding Straight,No,No,Yes,23, , , , , , ,Y, , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2022 at 11:30 PM PST a Waymo Autonomous Vehicle (""Waymo AV"") operating in Phoenix, Arizona was in a collision involving a domestic dog on the 800 block of [XXX].
The Waymo AV was traveling eastbound on [XXX] when a domestic dog ran into the street in front of the Waymo AV.  The Waymo AV then made contact with the dog and the dog died at the scene.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position).
Transdev Alternative Services is reporting this crash under Request No. 2 of Standing General Order 2021-01.  Transdev may supplement or correct its reporting with additional information as it may become available.  This report is a duplicate of WaymoLLC-202208[XXX-0 (rev.202209[XXX]162417).", 
30531-3877,1,Transdev Alternative Services,Monthly,8,2022,Sep-22,SADHW2S15M1, ,N/A,Jaguar,I-Pace, ,2021, ,9d4d73bafd748f5,38984, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,Aug-22, ,Aug-22,11:03, ,6c37f91fda20d45,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Tempe, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,45, ,Daylight,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Changing Lanes,No,No,Y, , , , , , , , , , ,Proceeding Straight,No,No,Yes,45, , , , , , , , , ,Y, , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2022 at 11:03 AM PST a Waymo Autonomous Vehicle (""Waymo AV"") operating in Tempe, Arizona was in a collision involving a passenger vehicle approached the Waymo AV from behind.  The passenger vehicle then made a lane change into its adjacent right lane, and passed the Waymo AV.  As it passed the Waymo AV, the passenger vehicle made a lane change back into the left adjacent lane, and its driver side rear quarter panel made contact with the Waymo AV's passenger side front quarter panel.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position).  Both vehicles sustained damage.
Transdev Alternative Services is reporting this crash under Request No. 2 of Standing General Order 2021-01.  Transdev may supplement or correct its reporting with additional information as it may become available.  This report is identical to WaymoLLC-202208[XXX]-0 (rev.202209[XXX]143732).", 
30270-3852,1,Waymo LLC,Monthly,8,2022,Sep-22,SADHW2S18M1, ,N/A,Jaguar,I-Pace, ,2021, ,006bac2ce63f1bf,28679, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,Aug-22, ,Aug-22,18:15, ,f4d487ba374fe26,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight, , ,Y, , , , , ,,Van,No Injuries Reported,Yes,Proceeding Straight,No,No, , ,Y, , ,Y, , ,Y, , ,Stopped,No,No,Yes,0, ,Y, , ,Y, , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2022 at 6:05 PM PST a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a van on [XXX] at [XXX].
The Waymo AV was traveling west on [XXX] and came to a stop behind a double-parked vehicle in the right lane. Shortly after coming to a stop, a van approached from behind and made contact with the rear of the Waymo AV. The van then changed lanes and left the scene. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with Yadditional information as it may become available.", 
30270-3851,1,Waymo LLC,Monthly,8,2022,Sep-22,SADHW2S11M1, ,N/A,Jaguar,I-Pace, ,2021, ,03a8719f5e6a313,44439, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,Aug-22, ,Aug-22,0:06, ,46e037718707dda,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Tempe, ,AZ ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,30, ,Dark - Lighted, , , , , , ,Y, ,,Passenger Car,No Injuries Reported,Yes,Stopped,No,No, ,Y, , , , , , , , , ,Proceeding Straight,No,No,Yes,10, , , , , , , ,Y, , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2022 at 12:06 AM PST a Waymo Autonomous Vehicle (""Waymo AV"") operating in Tempe, Arizona was in a collision involving a passenger vehicle near [XXX]. 
The Waymo AV was traveling eastbound on [XXX] when it approached a passenger vehicle stopped along the right shoulder in the bike lane. As the Waymo AV passed the passenger vehicle, one of the passenger vehicle's driver side doors opened and made contact with the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). Both vehicles sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30270-3848,1,Waymo LLC,Monthly,8,2022,Sep-22,1XPBD49XXMD, ,N/A,Peterbilt,579 Epiq, ,2021, ,3c9d14cc7392a38,194446, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,Yes,ADS,Waymo LLC, , , , , , , ,Y,Driver Report,Aug-22, ,Aug-22,18:33, ,a2d260068d10cc9,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Ennis, ,TX ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Highway / Freeway,Dry,No Unusual Conditions,65, ,Dawn / Dusk, , ,Y, , , , , ,,Heavy Truck,No Injuries Reported,Yes,Changing Lanes,No,No, , , , , , ,Y, , , , ,Proceeding Straight,No,No,Yes,61, , , ,Y, , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2022 at 6:33 PM PST a Waymo Autonomous Vehicle (""Waymo AV"") Peterbilt Class 8 semi-truck and trailer, operating in Ennis, Texas was in a collision involving a Class 8 semi-truck and trailer on northbound [XXX] near [XXX]. 
The Waymo AV was traveling in autonomous mode in the middle lane on [XXX] when a Class 8 semi-truck and trailer began to pass it in the adjacent left lane. Before the adjacent Class 8 semi-truck and trailer had fully passed the Waymo AV, it began to execute a right lane change and its trailer (the right side, rear section) entered the lane in which the Waymo AV was traveling and made contact with the driver side of the Waymo AV cab. The Waymo AV transitioned to manual mode and the test driver took control. At the time of the impact, the Waymo AV's ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). The Waymo AV sustained damage and the third-party Class 8 semi-truck and trailer did not stop to exchange information. 
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30270-3844,1,Waymo LLC,Monthly,8,2022,Sep-22,SADHW2S15M1, ,N/A,Jaguar,I-Pace, ,2021, ,1d779bc3c6588a4,10537, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,Aug-22, ,Aug-22,3:52, ,ca8c63af9d4185b,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Dark - Lighted,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Crossing into Opposing Lane,No,No, , ,Y, , , , , , , , ,Proceeding Straight,No,No,Yes,2, , ,Y, , , , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2022 at 3:52 AM PST a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a SUV on [XXX] at [XXX].
The Waymo AV was traveling West on [XXX] and stopped at the stop sign at the intersection with [XXX]. As the Waymo AV slowed to a stop, a SUV traveling in the opposite lane, East on [XXX], crossed the intersection with [XXX] and came to a stop in the opposite lane, next to the Waymo AV. After stopping, the SUV began moving again and the front left corner of the SUV made contact with the left side of the Waymo AV. The SUV then left the scene. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). The Waymo AV sustained damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30270-3843,1,Waymo LLC,Monthly,8,2022,Sep-22,SADHW2S19M1, ,N/A,Jaguar,I-Pace, ,2021, ,d486f6b56e17cbc,17214, ,In-Vehicle (Commercial / Test),5th Generation ADS, , ,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,Aug-22, ,Aug-22,18:08, ,e0563b63e1a8347,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Street,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,Passenger Car,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Stopped,No,No,Yes,0, , , , ,Y, , ,Y, , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2022 at 6:08 PM PST a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on[XXX] near [XXX]. 
The Waymo AV was stopped in traffic in the left-hand lane of [XXX], facing East. The passenger car that had been stopped behind the Waymo AV began moving forward. The front of the passenger car made contact with the rear of the Waymo AV. When the light turned green and traffic began moving, the passenger car left the scene. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). The Waymo AV sustained damage. 
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", 
30270-3842,1,Waymo LLC,Monthly,8,2022,Sep-22,SADHW2S1XM1, ,N/A,Jaguar,I-Pace, ,2021, ,39cc9faced8effe,22657, ,None,5th Generation ADS, , ,Yes,ADS,Waymo LLC, , ,Y, , , , , ,,Aug-22, ,Aug-22,17:05, ,72c8ad256e6283a,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,San Francisco, ,CA ,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION], ,Intersection,Dry,No Unusual Conditions,25, ,Daylight,Y, , , , , , , ,,SUV,No Injuries Reported,Yes,Proceeding Straight,No,No, , , , , ,Y, , , , , ,Stopped,No,No,Yes,0, ,Y, , ,Y, , , , , , , , , ,Y, ,Y,Y, , ,No,, ,Yes,, ,, ,, ,Yes, ,"On August [XXX], 2022 at 5:05 PM PST a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on [XXX] at [XXX].
While approaching a merge onto southbound [XXX] from southbound [XXX], the Waymo AV came to a stop to yield for approaching traffic on the left. While the Waymo AV was stopped, an SUV approached from behind and made contact with the rear bumper of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged. Both vehicles sustained minor damage.
Waymo is reporting this crash under Request No. 2 of Standing General Order 2021-01. Waymo may supplement or correct its reporting with additional information as it may become available.", 
