caseyear,state,st_case,statename,ve_total,ve_forms,pvh_invl,peds,pernotmvit,permvit,persons,county,countyname,city,cityname,day,month,monthname,year,day_week,day_weekname,hour,hourname,minute,minutename,nhs,nhsname,rur_urb,rur_urbname,func_sys,func_sysname,rd_owner,rd_ownername,route,routename,tway_id,tway_id2,milept,mileptname,latitude,latitudename,longitud,longitudname,sp_jur,sp_jurname,harm_ev,harm_evname,man_coll,man_collname,reljct1,reljct1name,reljct2,reljct2name,typ_int,typ_intname,wrk_zone,wrk_zonename,road_fnc,road_fncname,rel_road,rel_roadname,lgt_cond,lgt_condname,weather1,weather1name,weather2,weather2name,weather,weathername,sch_bus,sch_busname,rail,railname,not_hour,not_hourname,not_min,not_minname,arr_hour,arr_hourname,arr_min,arr_minname,hosp_hr,hosp_hrname,hosp_mn,hosp_mnname,cf1,cf1name,cf2,cf2name,cf3,cf3name,fatals,drunk_dr
2014,1,10011,Alabama,1,1,0,0,0,1,1,83,LIMESTONE (83),0,NOT APPLICABLE,8,1,January,2014,4,Wednesday,8,8:00am-8:59am,48,48,0,This section IS NOT on the NHS,,,,,,,3,State Highway,SR-251,,38,38,34.83110000,34.83110000,-86.891261110,-86.891261110,0,No Special Jurisdiction,34,Ditch,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,3,Rural-Minor Arterial,4,On Roadside,1,Daylight,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,9,9:00am-9:59am,0,0,88,"Not Applicable (Not Transported) ",88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2014,1,10012,Alabama,2,1,1,0,1,1,2,97,MOBILE (97),2100,MOBILE,8,1,January,2014,4,Wednesday,12,12:00pm-12:59pm,34,34,1,This section IS ON the NHS,,,,,,,6,Local Street - Municipality,CR-AIRPORT BLVD,,0,None,30.68240000,30.68240000,-88.225441670,-88.225441670,0,No Special Jurisdiction,14,"Parked Motor Vehicle ",0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,13,Urban-Other Principal Arterial,5,Outside Trafficway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,12,12:00pm-12:59pm,39,39,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
2014,1,10013,Alabama,1,1,0,0,0,1,1,53,ESCAMBIA (53),0,NOT APPLICABLE,8,1,January,2014,4,Wednesday,15,3:00pm-3:59pm,47,47,0,This section IS NOT on the NHS,,,,,,,4,County Road,CR-WAYSIDE RD,,0,None,31.18008889,31.18008889,-87.438330560,-87.438330560,0,No Special Jurisdiction,38,Fence,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,3,Rural-Minor Arterial,5,Outside Trafficway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,16,4:00pm-4:59pm,21,21,88,"Not Applicable (Not Transported) ",88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2014,1,10014,Alabama,1,1,0,0,0,1,1,43,CULLMAN (43),0,NOT APPLICABLE,9,1,January,2014,5,Thursday,6,6:00am-6:59am,0,0,0,This section IS NOT on the NHS,,,,,,,4,County Road,CR-703,,0,None,34.14506667,34.14506667,-86.766047220,-86.766047220,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,Rural-Major Collector,4,On Roadside,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,10,10:00am-10:59am,25,25,88,"Not Applicable (Not Transported) ",88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2014,1,10015,Alabama,2,2,0,1,1,2,2,15,CALHOUN (15),0,NOT APPLICABLE,8,1,January,2014,4,Wednesday,21,9:00pm-9:59pm,31,31,9,Unknown if this section is on the NHS,,,,,,,2,U.S. Highway,US-SR 4,,1710,1710,33.64666111,33.64666111,-85.656688890,-85.656688890,0,No Special Jurisdiction,12,"Motor Vehicle In-Transport ",2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,99,Unknown,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,21,9:00pm-9:59pm,40,40,99,Unknown,99,Unknown EMS Hospital Arrival Time,19,Recent/Previous Crash scene Nearby,15,"Non-occupant struck by falling cargo, or something that came loose from, or something that was set in motion by a vehicle",0,None,2,0
2014,1,10016,Alabama,1,1,0,0,0,7,7,7,BIBB (7),0,NOT APPLICABLE,10,1,January,2014,6,Friday,16,4:00pm-4:59pm,15,15,0,This section IS NOT on the NHS,,,,,,,4,County Road,CR-HOPEWELL CHURCH RD,,0,None,33.08283611,33.08283611,-87.200316670,-87.200316670,0,No Special Jurisdiction,35,Embankment,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,Rural-Major Collector,4,On Roadside,1,Daylight,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,16,4:00pm-4:59pm,35,35,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2014,1,10017,Alabama,2,2,0,0,0,3,3,43,CULLMAN (43),0,NOT APPLICABLE,10,1,January,2014,6,Friday,17,5:00pm-5:59pm,15,15,0,This section IS NOT on the NHS,,,,,,,3,State Highway,SR-69,,2550,2550,34.23804722,34.23804722,-86.707563890,-86.707563890,0,No Special Jurisdiction,12,"Motor Vehicle In-Transport ",6,"Angle ",0,No,1,Non-Junction,1,Not an Intersection,0,None,3,Rural-Minor Arterial,1,On Roadway,2,Dark - Not Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,17,5:00pm-5:59pm,32,32,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2014,1,10018,Alabama,1,1,0,0,0,1,1,67,HENRY (67),0,NOT APPLICABLE,10,1,January,2014,6,Friday,18,6:00pm-6:59pm,10,10,0,This section IS NOT on the NHS,,,,,,,3,State Highway,SR-95,,410,410,31.52903333,31.52903333,-85.200261110,-85.200261110,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,Rural-Major Collector,4,On Roadside,1,Daylight,2,Rain,5,"Fog, Smog, Smoke",2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,18,6:00pm-6:59pm,26,26,88,"Not Applicable (Not Transported) ",88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2014,1,10019,Alabama,1,1,0,0,0,1,1,97,MOBILE (97),2100,MOBILE,10,1,January,2014,6,Friday,21,9:00pm-9:59pm,40,40,0,This section IS NOT on the NHS,,,,,,,4,County Road,CR-WILMER ROAD,,0,None,30.74886667,30.74886667,-88.370269440,-88.370269440,0,No Special Jurisdiction,38,Fence,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,Rural-Major Collector,4,On Roadside,2,Dark - Not Lighted,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,21,9:00pm-9:59pm,59,59,88,"Not Applicable (Not Transported) ",88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2014,1,10020,Alabama,1,1,0,0,0,2,2,89,MADISON (89),1730,HUNTSVILLE,11,1,January,2014,7,Saturday,3,3:00am-3:59am,32,32,1,This section IS ON the NHS,,,,,,,1,Interstate,I-565,,190,190,34.73530556,34.73530556,-86.596275000,-86.596275000,0,No Special Jurisdiction,30,Utility Pole/Light Support,0,Not a Collision with Motor Vehicle In-Transport,1,Yes,5,Entrance/Exit Ramp Related,1,Not an Intersection,0,None,11,Urban-Principal Arterial-Interstate,4,On Roadside,3,Dark - Lighted,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,3,3:00am-3:59am,38,38,88,"Not Applicable (Not Transported) ",88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2014,1,10021,Alabama,1,1,0,1,1,2,2,81,LEE (81),2340,OPELIKA,11,1,January,2014,7,Saturday,20,8:00pm-8:59pm,23,23,0,This section IS NOT on the NHS,,,,,,,6,Local Street - Municipality,WAVERLY PARKWAY,,0,None,32.64859722,32.64859722,-85.407191670,-85.407191670,0,No Special Jurisdiction,8,Pedestrian,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,14,Urban-Minor Arterial,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,21,9:00pm-9:59pm,31,31,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2014,1,10022,Alabama,1,1,0,0,0,1,1,45,DALE (45),2230,NEWTON,2,1,January,2014,5,Thursday,13,1:00pm-1:59pm,12,12,0,This section IS NOT on the NHS,,,,,,,4,County Road,CR-18,,0,None,31.36858056,31.36858056,-85.600000000,-85.600000000,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,Rural-Major Collector,4,On Roadside,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,13,1:00pm-1:59pm,33,33,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2014,1,10023,Alabama,2,2,0,0,0,3,3,49,DEKALB (49),1550,HAMMONDVILLE,3,1,January,2014,6,Friday,13,1:00pm-1:59pm,30,30,0,This section IS NOT on the NHS,,,,,,,3,State Highway,SR-117,,0,None,34.59374722,34.59374722,-85.640163890,-85.640163890,0,No Special Jurisdiction,12,"Motor Vehicle In-Transport ",6,"Angle ",0,No,8,Driveway Access Related,1,Not an Intersection,0,None,3,Rural-Minor Arterial,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,13,1:00pm-1:59pm,45,45,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2014,1,10024,Alabama,2,2,0,0,0,2,2,131,WILCOX (131),2490,PINE HILL,7,1,January,2014,3,Tuesday,18,6:00pm-6:59pm,15,15,0,This section IS NOT on the NHS,,,,,,,3,State Highway,SR-10,,580,580,32.00252500,32.00252500,-87.595958330,-87.595958330,0,No Special Jurisdiction,12,"Motor Vehicle In-Transport ",2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,3,Rural-Minor Arterial,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,18,6:00pm-6:59pm,35,35,88,"Not Applicable (Not Transported) ",88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2014,1,10025,Alabama,3,3,0,0,0,4,4,59,FRANKLIN (59),2690,RUSSELLVILLE,8,1,January,2014,4,Wednesday,17,5:00pm-5:59pm,43,43,1,This section IS ON the NHS,,,,,,,3,State Highway,SR-13,,2928,2928,34.47749444,34.47749444,-87.742952780,-87.742952780,0,No Special Jurisdiction,12,"Motor Vehicle In-Transport ",6,"Angle ",0,No,1,Non-Junction,1,Not an Intersection,0,None,13,Urban-Other Principal Arterial,1,On Roadway,3,Dark - Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,17,5:00pm-5:59pm,49,49,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2014,1,10026,Alabama,1,1,0,0,0,1,1,81,LEE (81),2340,OPELIKA,9,1,January,2014,5,Thursday,10,10:00am-10:59am,32,32,1,This section IS ON the NHS,,,,,,,1,Interstate,I-85,,632,632,32.65222222,32.65222222,-85.346777780,-85.346777780,0,No Special Jurisdiction,57,Cable Barrier,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,11,Urban-Principal Arterial-Interstate,3,On Median,1,Daylight,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,10,10:00am-10:59am,42,42,88,"Not Applicable (Not Transported) ",88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2014,1,10027,Alabama,2,2,0,0,0,4,4,125,TUSCALOOSA (125),0,NOT APPLICABLE,9,1,January,2014,5,Thursday,18,6:00pm-6:59pm,30,30,0,This section IS NOT on the NHS,,,,,,,3,State Highway,SR-171,,33,33,33.30194444,33.30194444,-87.627777780,-87.627777780,0,No Special Jurisdiction,12,"Motor Vehicle In-Transport ",2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,2,Rural-Principal Arterial-Other,1,On Roadway,2,Dark - Not Lighted,10,Cloudy,0,No Additional Atmospheric Conditions,10,Cloudy,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,18,6:00pm-6:59pm,35,35,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
2014,1,10028,Alabama,1,1,0,0,0,1,1,39,COVINGTON (39),0,NOT APPLICABLE,10,1,January,2014,6,Friday,7,7:00am-7:59am,10,10,0,This section IS NOT on the NHS,,,,,,,4,County Road,CR-46,,0,None,31.26273333,31.26273333,-86.359794440,-86.359794440,0,No Special Jurisdiction,35,Embankment,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,6,Rural-Local Road or Street,4,On Roadside,1,Daylight,5,"Fog, Smog, Smoke",0,No Additional Atmospheric Conditions,5,"Fog, Smog, Smoke",0,No,0000000,Not Applicable,99,Unknown,99,Unknown,7,7:00am-7:59am,35,35,88,"Not Applicable (Not Transported) ",88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2014,1,10029,Alabama,3,3,0,0,0,11,11,73,JEFFERSON (73),350,BIRMINGHAM,11,1,January,2014,7,Saturday,2,2:00am-2:59am,15,15,0,This section IS NOT on the NHS,,,,,,,2,U.S. Highway,US-SR 4,4TH AVE W,0,None,33.50629167,33.50629167,-86.849141670,-86.849141670,0,No Special Jurisdiction,12,"Motor Vehicle In-Transport ",6,"Angle ",0,No,2,Intersection,2,Four-Way Intersection,0,None,14,Urban-Minor Arterial,1,On Roadway,2,Dark - Not Lighted,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,2,2:00am-2:59am,25,25,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2014,1,10030,Alabama,1,1,0,0,0,1,1,89,MADISON (89),0,NOT APPLICABLE,13,1,January,2014,2,Monday,13,1:00pm-1:59pm,20,20,0,This section IS NOT on the NHS,,,,,,,4,County Road,CR-WINCHESTER ROAD,,0,None,34.95873333,34.95873333,-86.417275000,-86.417275000,0,No Special Jurisdiction,1,Rollover/Overturn,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,3,Rural-Minor Arterial,4,On Roadside,1,Daylight,2,Rain,0,No Additional Atmospheric Conditions,2,Rain,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,13,1:00pm-1:59pm,25,25,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,1
2014,1,10031,Alabama,2,2,0,0,0,2,2,39,COVINGTON (39),2350,OPP,14,1,January,2014,3,Tuesday,10,10:00am-10:59am,9,9,1,This section IS ON the NHS,,,,,,,3,State Highway,SR-299,PERRY STORE RD,5230,5230,31.28079444,31.28079444,-86.222433330,-86.222433330,0,No Special Jurisdiction,12,"Motor Vehicle In-Transport ",6,"Angle ",0,No,2,Intersection,2,Four-Way Intersection,0,None,2,Rural-Principal Arterial-Other,1,On Roadway,1,Daylight,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,10,10:00am-10:59am,14,14,88,"Not Applicable (Not Transported) ",88,Not Applicable (Not Transported),0,None,0,None,0,None,1,0
2014,1,10032,Alabama,1,1,0,0,0,1,1,5,BARBOUR (5),0,NOT APPLICABLE,15,1,January,2014,4,Wednesday,2,2:00am-2:59am,40,40,0,This section IS NOT on the NHS,,,,,,,3,State Highway,SR-10,,1876,1876,31.71496111,31.71496111,-85.699641670,-85.699641670,0,No Special Jurisdiction,42,Tree (Standing Only),0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,14,Urban-Minor Arterial,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,3,3:00am-3:59am,20,20,88,"Not Applicable (Not Transported) ",88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
2014,1,10033,Alabama,2,2,0,0,0,4,4,125,TUSCALOOSA (125),0,NOT APPLICABLE,15,1,January,2014,4,Wednesday,22,10:00pm-10:59pm,50,50,0,This section IS NOT on the NHS,,,,,,,4,County Road,CR-INDIAN CREEK ROAD,,0,None,33.05856944,33.05856944,-87.511816670,-87.511816670,0,No Special Jurisdiction,12,"Motor Vehicle In-Transport ",2,Front-to-Front,0,No,1,Non-Junction,1,Not an Intersection,0,None,6,Rural-Local Road or Street,1,On Roadway,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,23,11:00pm-11:59pm,10,10,99,Unknown,99,Unknown EMS Hospital Arrival Time,0,None,0,None,0,None,1,0
2014,1,10034,Alabama,1,1,0,0,0,1,1,113,RUSSELL (113),0,NOT APPLICABLE,17,1,January,2014,6,Friday,19,7:00pm-7:59pm,16,16,0,This section IS NOT on the NHS,,,,,,,4,County Road,CR-39,,0,None,32.24401389,32.24401389,-85.115525000,-85.115525000,0,No Special Jurisdiction,35,Embankment,0,Not a Collision with Motor Vehicle In-Transport,0,No,1,Non-Junction,1,Not an Intersection,0,None,4,Rural-Major Collector,4,On Roadside,2,Dark - Not Lighted,1,Clear,0,No Additional Atmospheric Conditions,1,Clear,0,No,0000000,Not Applicable,99,Unknown,99,Unknown,19,7:00pm-7:59pm,28,28,88,"Not Applicable (Not Transported) ",88,Not Applicable (Not Transported),0,None,0,None,0,None,1,1
